Date,Open,High,Low,Close,Adj Close,Volume
02-03-2023,343.98999,349.779999,340.48999,349.100006,338.400391,3259800
03-03-2023,350.640015,357.769989,349.559998,357.089996,346.145477,2396200
06-03-2023,358.059998,358.859985,353.730011,357.049988,346.10672,1614200
07-03-2023,355.549988,356.200012,345.630005,346.079987,335.4729,2048500
08-03-2023,346.190002,349.690002,345.170013,349.290009,338.584534,1584600
09-03-2023,349.200012,354.290009,341.049988,342.089996,331.605225,3177800
10-03-2023,338.869995,339.929993,326.029999,327.670013,317.627197,4559700
13-03-2023,319.670013,326.109985,314.540009,315.51001,305.839874,5660700
14-03-2023,324.769989,326.380005,318.950012,322.149994,312.276337,3785900
15-03-2023,310.769989,312.51001,304.410004,312.190002,302.621613,6596700
16-03-2023,309,318.320007,304.920013,315.089996,305.43277,4399100
17-03-2023,310.089996,310.399994,301.869995,303.540009,294.236725,6369800
20-03-2023,306.779999,312.200012,306.26001,309.529999,300.043152,3963700
21-03-2023,317.619995,320.320007,315.350006,317.279999,307.555634,3242400
22-03-2023,317.279999,322.220001,313.48999,313.670013,304.056274,2505900
23-03-2023,315.209991,321.359985,312.640015,314.850006,305.200134,2585900
24-03-2023,310.149994,312.75,305.359985,312.570007,302.98996,2456700
27-03-2023,318.619995,320.899994,317.170013,318.529999,308.767303,2300600
28-03-2023,319.089996,320.609985,316.119995,318.440002,308.680084,1224300
29-03-2023,322.5,322.709991,318.679993,320.720001,310.890198,1475900
30-03-2023,324.559998,324.869995,319.880005,321.140015,311.297333,1456300
31-03-2023,323.470001,327.329987,322.420013,327.109985,317.08432,2281100
03-04-2023,326.140015,328.980011,323.149994,326.519989,316.512421,1808800
04-04-2023,326.820007,326.869995,320.119995,322.649994,312.761047,1536800
05-04-2023,319.619995,322.200012,319.369995,321.529999,311.675354,1329300
06-04-2023,320.380005,323.230011,319.980011,322.399994,312.518707,1311000
10-04-2023,322.399994,324.98999,321.309998,324.959991,315.000244,1114400
11-04-2023,326.049988,329.200012,323.670013,327.369995,317.336365,1559600
12-04-2023,331.720001,332.070007,327.179993,330.23999,320.118378,1862400
13-04-2023,330.079987,332.940002,327,332.130005,321.9505,1765500
14-04-2023,336.529999,339.630005,334.320007,336.920013,326.593658,2275700
17-04-2023,336,340.450012,333.679993,339.679993,329.269073,3012100
18-04-2023,328,336.549988,326.130005,333.910004,323.675934,7549500
19-04-2023,332.980011,336.98999,331.670013,336.890015,326.564606,2625400
20-04-2023,334.950012,339.309998,334.320007,338.709991,328.328796,2217900
21-04-2023,339,342.359985,336,341.660004,331.188385,2278900
24-04-2023,341.98999,345.059998,341.529999,343.959991,333.417908,1966300
25-04-2023,341,343.470001,338.329987,339.480011,329.075226,2138200
26-04-2023,337.579987,340.600006,334.640015,336.559998,326.24472,2041900
27-04-2023,340.140015,343.359985,338.76001,341.600006,331.130249,1768200
28-04-2023,340.049988,344.100006,339.700012,343.440002,332.913818,1712500
01-05-2023,344.049988,347.459991,340.369995,340.570007,330.131805,1375000
02-05-2023,339.01001,339.890015,330,333.369995,323.152466,2397600
03-05-2023,332.359985,334.829987,328.25,328.649994,318.577148,1825400
04-05-2023,325.950012,326.980011,318.559998,321.26001,311.413666,2965100
05-05-2023,325.059998,327.869995,322.420013,327.019989,316.99707,2412900
08-05-2023,329.640015,330.299988,325.670013,326.51001,316.502747,1607300
09-05-2023,325.040009,327.179993,323.299988,324.769989,314.81604,1253300
10-05-2023,329.920013,329.920013,319.079987,322.549988,312.664093,1752200
11-05-2023,319.660004,321.940002,318.179993,320.720001,310.890198,1515200
12-05-2023,322.040009,323.220001,317.320007,319.5,309.707581,1098800
15-05-2023,320.420013,323.25,318.059998,322.070007,312.198822,1178200
16-05-2023,322.5,323.070007,320.5,320.809998,310.977448,1618900
17-05-2023,322.660004,330.390015,322.660004,330.179993,320.060242,2098100
18-05-2023,330,330.600006,325.660004,329.579987,319.478607,1645400
19-05-2023,330,331.950012,324.790009,326.149994,316.153748,1545600
22-05-2023,326.149994,327.339996,322.429993,324.920013,314.961456,1498900
23-05-2023,323.600006,327.140015,322.809998,323.570007,313.652832,1550900
24-05-2023,320.390015,321.899994,318.799988,319.809998,310.008087,1439100
25-05-2023,318.920013,325.179993,318.799988,323.880005,313.953369,1618500
26-05-2023,324.720001,332.869995,324,332.01001,321.834167,2718700
30-05-2023,332.079987,332.529999,327.730011,330.829987,320.690308,1998600
31-05-2023,326.070007,327.25,321.820007,323.899994,316.363373,2938000
01-06-2023,324.51001,324.679993,314.019989,316.399994,309.037903,3339700
02-06-2023,318.23999,325.269989,317.049988,323.649994,316.119202,3987700
05-06-2023,322.929993,323.48999,320.320007,321.809998,314.322021,1462900
06-06-2023,322.429993,328.070007,321.399994,326.799988,319.195892,1495600
07-06-2023,327.640015,337.839996,326.320007,335.75,327.937683,3382700
08-06-2023,335.359985,336.329987,331.339996,335.470001,327.664185,2009500
09-06-2023,335.209991,336.200012,332.540009,336.019989,328.201385,1702100
12-06-2023,338.440002,340.089996,336.350006,339.48999,331.590668,2290800
13-06-2023,340.200012,345.279999,339.450012,342.5,334.530579,1772400
14-06-2023,344.779999,347.730011,337.230011,338.420013,330.545532,1819400
15-06-2023,337.320007,344,335.700012,339.73999,331.834808,3322700
16-06-2023,341.380005,341.399994,337.109985,338.309998,330.43811,4542800
